Plat;Ingredients;Preu
Bacalla a la llauna amb tomaquet i mongetes seques;Bacalao a la lata con tomate y judias secas;14,90€
Calamars de la costa de Castello a la romana ;Calamares de la costa de Castellón a la romana;11,00€
Calamars de la costa de Castello a la planxa;Calamares de la costa de Castellón a la plancha;11,80€
"Llenguat de costa al gust(""planxa"" o “meuniere"")";Lenguado de costa al gusto”plancha” o”meuniere”;17,50€
Gambes de la costa de palamos a la planxa;Gambas de la csota de Palamos a la plancha;24,90€ 
Xipirons de la costa de Castello saltejats amb ceba i favetes tendres;Chipirones de la costa de Castellón salteados con cebolla y habas tiernas;18,90€
Xipirons de la costa de Castello a la romana;Chipirones de la costa de Castellón a la romana;15,90€
Sepia a la planxa;Sepia a la plancha;10,20€
Orada d’Alacant al forn;Dorada d’Alicante al horno;14,90€
Tronc de lluç gallec al forn;Tronco de merluza al horno;14,90€
